Año,Trimestre,Distrito,Tipo,Lugar,Frecuencia
2020,2,Sur-Metán,Consultas,OVFG,0
2020,2,Sur-Metán,Consultas,OVFG,0
2020,3,Sur-Metán,Familiar,OVFG,15
2020,3,Sur-Metán,Familiar,OVFG,0
2020,3,Sur-Metán,Familiar,Comisarias,149
2020,3,Sur-Metán,Familiar,Otros organismos,0
2020,3,Sur-Metán,Género,OVFG,10
2020,3,Sur-Metán,Género,OVFG,0
2020,3,Sur-Metán,Género,Comisarias,138
2020,3,Sur-Metán,Género,Otros organismos,2
2020,3,Sur-Metán,No configura VFG,No corresponde,24
2020,3,Sur-Metán,Consultas,OVFG,0
2020,3,Sur-Metán,Consultas,OVFG,0
2020,3,Sur-Metán,Consultas,OVFG,0
2020,4,Sur-Metán,Familiar,OVFG,21
2020,4,Sur-Metán,Familiar,OVFG,0
2020,4,Sur-Metán,Familiar,Comisarias,169
2020,4,Sur-Metán,Familiar,Otros organismos,0
2020,4,Sur-Metán,Género,OVFG,17
2020,4,Sur-Metán,Género,OVFG,0
2020,4,Sur-Metán,Género,Comisarias,188
2020,4,Sur-Metán,Género,Otros organismos,7
2020,4,Sur-Metán,No configura VFG,No corresponde,53
2020,4,Sur-Metán,Consultas,OVFG,0
2020,4,Sur-Metán,Consultas,OVFG,0
2020,4,Sur-Metán,Consultas,OVFG,0
2020,1,Norte-Orán,Familiar,OVFG,42
2020,1,Norte-Orán,Familiar,OVFG,0
2020,1,Norte-Orán,Familiar,Comisarias,181
2020,1,Norte-Orán,Familiar,Otros organismos,0
2020,1,Norte-Orán,Género,OVFG,35
2020,1,Norte-Orán,Género,OVFG,0
2020,1,Norte-Orán,Género,Comisarias,348
2020,1,Norte-Orán,Género,Otros organismos,69
2020,1,Norte-Orán,No configura VFG,No corresponde,150
2020,1,Norte-Orán,Consultas,OVFG,2
2020,1,Norte-Orán,Consultas,OVFG,0
2020,1,Norte-Orán,Consultas,OVFG,1
2020,2,Norte-Orán,Familiar,OVFG,4
2020,2,Norte-Orán,Familiar,OVFG,0
2020,2,Norte-Orán,Familiar,Comisarias,101
2020,2,Norte-Orán,Familiar,Otros organismos,0
2020,2,Norte-Orán,Género,OVFG,3
2020,2,Norte-Orán,Género,OVFG,0
2020,2,Norte-Orán,Género,Comisarias,164
2020,2,Norte-Orán,Género,Otros organismos,57
2020,2,Norte-Orán,No configura VFG,No corresponde,67
2020,2,Norte-Orán,Consultas,OVFG,0
2020,2,Norte-Orán,Consultas,OVFG,0
2020,2,Norte-Orán,Consultas,OVFG,3
2020,3,Norte-Orán,Familiar,OVFG,0
2020,3,Norte-Orán,Familiar,OVFG,0
2020,3,Norte-Orán,Familiar,Comisarias,117
2020,3,Norte-Orán,Familiar,Otros organismos,0
2020,3,Norte-Orán,Género,OVFG,3
2020,3,Norte-Orán,Género,OVFG,0
2020,3,Norte-Orán,Género,Comisarias,246
2020,3,Norte-Orán,Género,Otros organismos,44
2020,3,Norte-Orán,No configura VFG,No corresponde,110
2020,3,Norte-Orán,Consultas,OVFG,0
2020,3,Norte-Orán,Consultas,OVFG,0
2020,3,Norte-Orán,Consultas,OVFG,3
2020,4,Norte-Orán,Familiar,OVFG,6
2020,4,Norte-Orán,Familiar,OVFG,0
2020,4,Norte-Orán,Familiar,Comisarias,149
2020,4,Norte-Orán,Familiar,Otros organismos,18
2020,4,Norte-Orán,Género,OVFG,16
2020,4,Norte-Orán,Género,OVFG,0
2020,4,Norte-Orán,Género,Comisarias,253
2020,4,Norte-Orán,Género,Otros organismos,122
2020,4,Norte-Orán,No configura VFG,No corresponde,105
2020,4,Norte-Orán,Consultas,OVFG,6
2020,4,Norte-Orán,Consultas,OVFG,0
2020,4,Norte-Orán,Consultas,OVFG,10
2020,1,Norte-Tartagal,Familiar,OVFG,25
2020,1,Norte-Tartagal,Consultas,OVFG,38
2020,1,Norte-Tartagal,Familiar,Comisarias,261
2020,1,Norte-Tartagal,No configura VFG,No corresponde,97
2020,1,Norte-Tartagal,Consultas,OVFG,33
2020,1,Norte-Tartagal,Género,OVFG,37
2020,1,Norte-Tartagal,Género,Comisarias,407
2020,2,Norte-Tartagal,Familiar,OVFG,8
2020,2,Norte-Tartagal,Consultas,OVFG,7
2020,2,Norte-Tartagal,Familiar,Comisarias,262
2020,2,Norte-Tartagal,No configura VFG,No corresponde,122
2020,2,Norte-Tartagal,Consultas,OVFG,4
2020,2,Norte-Tartagal,Género,OVFG,25
2020,2,Norte-Tartagal,Género,Comisarias,456
2020,3,Norte-Tartagal,Familiar,Comisarias,254
2020,3,Norte-Tartagal,No configura VFG,No corresponde,154
2020,3,Norte-Tartagal,Consultas,OVFG,1
2020,3,Norte-Tartagal,Género,OVFG,6
2020,3,Norte-Tartagal,Género,Comisarias,379
2020,4,Norte-Tartagal,Familiar,OVFG,8
2020,4,Norte-Tartagal,Consultas,OVFG,2
2020,4,Norte-Tartagal,Familiar,Comisarias,303
2020,4,Norte-Tartagal,No configura VFG,No corresponde,188
2020,4,Norte-Tartagal,Consultas,OVFG,21
2020,4,Norte-Tartagal,Género,OVFG,13
2020,4,Norte-Tartagal,Género,Comisarias,611
2020,1,Centro,Familiar,OVFG,105
2020,1,Centro,Familiar,OVFG,18
2020,1,Centro,Familiar,Otros organismos,72
2020,1,Centro,Familiar,Comisarias,1250
2020,1,Centro,Género,OVFG,131
2020,1,Centro,Género,OVFG,94
2020,1,Centro,Género,Otros organismos,111
2020,1,Centro,Género,Comisarias,1924
2020,1,Centro,No configura VFG,No corresponde,860
2020,1,Centro,Consultas,OVFG,1
2020,1,Centro,Consultas,OVFG,493
2020,2,Centro,Familiar,OVFG,7
2020,2,Centro,Familiar,OVFG,20
2020,2,Centro,Familiar,Otros organismos,21
2020,2,Centro,Familiar,Comisarias,1523
2020,2,Centro,Género,OVFG,10
2020,2,Centro,Género,OVFG,54
2020,2,Centro,Género,Otros organismos,30
2020,2,Centro,Género,Comisarias,2073
2020,2,Centro,No configura VFG,No corresponde,874
2020,2,Centro,Consultas,OVFG,13
2020,2,Centro,Consultas,OVFG,5
2020,3,Centro,Familiar,OVFG,4
2020,3,Centro,Familiar,OVFG,14
2020,3,Centro,Familiar,Otros organismos,37
2020,3,Centro,Familiar,Comisarias,1561
2020,3,Centro,Género,OVFG,12
2020,3,Centro,Género,OVFG,42
2020,3,Centro,Género,Otros organismos,41
2020,3,Centro,Género,Comisarias,1640
2020,3,Centro,No configura VFG,No corresponde,1068
2020,3,Centro,Consultas,OVFG,21
2020,3,Centro,Consultas,OVFG,24
2020,4,Centro,Familiar,OVFG,41
2020,4,Centro,Familiar,OVFG,18
2020,4,Centro,Familiar,Comisarias,2132
2020,4,Centro,Familiar,Otros organismos,47
2020,4,Centro,Género,OVFG,86
2020,4,Centro,Género,OVFG,50
2020,4,Centro,Género,Comisarias,2156
2020,4,Centro,Género,Otros organismos,69
2020,4,Centro,No configura VFG,No corresponde,1228
2020,4,Centro,Consultas,OVFG,29
2020,4,Centro,Consultas,OVFG,0
2020,4,Centro,Consultas,OVFG,3
2022,1,Centro,Familiar,OVFG,47
2022,1,Centro,Familiar,OVFG,23
2022,1,Centro,Familiar,Comisarias,1902
2022,1,Centro,Familiar,Otros organismos,117
2022,1,Centro,Género,OVFG,73
2022,1,Centro,Género,OVFG,93
2022,1,Centro,Género,Comisarias,2125
2022,1,Centro,Género,Otros organismos,151
2022,1,Centro,No configura VFG,No corresponde,1242
2022,1,Centro,Consultas,OVFG,3
2022,1,Centro,Consultas,OVFG,5
2022,1,Centro,Consultas,OVFG,2
2022,1,Norte-Orán,Familiar,OVFG,32
2022,1,Norte-Orán,Familiar,OVFG,0
2022,1,Norte-Orán,Familiar,Comisarias,185
2022,1,Norte-Orán,Familiar,Otros organismos,18
2022,1,Norte-Orán,Género,OVFG,44
2022,1,Norte-Orán,Género,OVFG,0
2022,1,Norte-Orán,Género,Comisarias,376
2022,1,Norte-Orán,Género,Otros organismos,51
2022,1,Norte-Orán,No configura VFG,No corresponde,193
2022,1,Norte-Orán,Consultas,OVFG,0
2022,1,Norte-Orán,Consultas,OVFG,0
2022,1,Norte-Orán,Consultas,OVFG,2
2022,1,Norte-Tartagal,Familiar,OVFG,16
2022,1,Norte-Tartagal,Consultas,OVFG,14
2022,1,Norte-Tartagal,Familiar,Comisarias,331
2022,1,Norte-Tartagal,No configura VFG,No corresponde,192
2022,1,Norte-Tartagal,Consultas,OVFG,25
2022,1,Norte-Tartagal,Género,OVFG,36
2022,1,Norte-Tartagal,Género,Comisarias,567
2022,1,Sur-Metán,Familiar,OVFG,23
2022,1,Sur-Metán,Familiar,OVFG,0
2022,1,Sur-Metán,Familiar,Comisarias,173
2022,1,Sur-Metán,Familiar,Otros organismos,0
2022,1,Sur-Metán,Género,OVFG,23
2022,1,Sur-Metán,Género,OVFG,0
2022,1,Sur-Metán,Género,Comisarias,221
2022,1,Sur-Metán,Género,Otros organismos,3
2022,1,Sur-Metán,No configura VFG,No corresponde,61
2022,1,Sur-Metán,Consultas,OVFG,0
2022,1,Sur-Metán,Consultas,OVFG,0
2022,1,Sur-Metán,Consultas,OVFG,0
2022,1,Sur-Anta,Familiar,OVFG,5
2022,1,Sur-Anta,Familiar,OVFG,0
2022,1,Sur-Anta,Familiar,Comisarias,66
2022,1,Sur-Anta,Familiar,Otros organismos,0
2022,1,Sur-Anta,Género,OVFG,11
2022,1,Sur-Anta,Género,OVFG,0
2022,1,Sur-Anta,Género,Comisarias,83
2022,1,Sur-Anta,Género,Otros organismos,0
2022,1,Sur-Anta,No configura VFG,No corresponde,30
2022,1,Sur-Anta,Consultas,OVFG,0
2022,1,Sur-Anta,Consultas,OVFG,0
2022,1,Sur-Anta,Consultas,OVFG,1
2022,2,Centro,Familiar,OVFG,40
2022,2,Centro,Familiar,OVFG,12
2022,2,Centro,Familiar,Comisarias,1549
2022,2,Centro,Familiar,Otros organismos,153
2022,2,Centro,Género,OVFG,64
2022,2,Centro,Género,OVFG,70
2022,2,Centro,Género,Comisarias,1867
2022,2,Centro,Género,Otros organismos,147
2022,2,Centro,No configura VFG,No corresponde,1144
2022,2,Norte-Orán,Familiar,OVFG,28
2022,2,Norte-Orán,Familiar,OVFG,0
2022,2,Norte-Orán,Familiar,Comisarias,217
2022,2,Norte-Orán,Familiar,Otros organismos,18
2022,2,Norte-Orán,Género,OVFG,38
2022,2,Norte-Orán,Género,OVFG,0
2022,2,Norte-Orán,Género,Comisarias,409
2022,2,Norte-Orán,Género,Otros organismos,53
2022,2,Norte-Orán,No configura VFG,No corresponde,194
2022,2,Norte-Orán,Consultas,OVFG,0
2022,2,Norte-Orán,Consultas,OVFG,0
2022,2,Norte-Orán,Consultas,OVFG,0
2022,2,Norte-Tartagal,Familiar,OVFG,23
2022,2,Norte-Tartagal,Consultas,OVFG,2
2022,2,Norte-Tartagal,Familiar,Comisarias,307
2022,2,Norte-Tartagal,No configura VFG,No corresponde,147
2022,2,Norte-Tartagal,Consultas,OVFG,29
2022,2,Norte-Tartagal,Género,OVFG,36
2022,2,Norte-Tartagal,Género,Comisarias,553
2022,2,Sur-Metán,Familiar,OVFG,28
2022,2,Sur-Metán,Familiar,OVFG,0
2022,2,Sur-Metán,Familiar,Comisarias,200
2022,2,Sur-Metán,Familiar,Otros organismos,0
2022,2,Sur-Metán,Género,OVFG,16
2022,2,Sur-Metán,Género,OVFG,0
2022,2,Sur-Metán,Género,Comisarias,167
2022,2,Sur-Metán,Género,Otros organismos,3
2022,2,Sur-Metán,No configura VFG,No corresponde,67
2022,2,Sur-Metán,Consultas,OVFG,0
2022,2,Sur-Metán,Consultas,OVFG,0
2022,2,Sur-Metán,Consultas,OVFG,0
2022,2,Sur-Anta,Familiar,OVFG,3
2022,2,Sur-Anta,Familiar,OVFG,0
2022,2,Sur-Anta,Familiar,Comisarias,57
2022,2,Sur-Anta,Familiar,Otros organismos,2
2022,2,Sur-Anta,Género,OVFG,8
2022,2,Sur-Anta,Género,OVFG,1
2022,2,Sur-Anta,Género,Comisarias,84
2022,2,Sur-Anta,Género,Otros organismos,0
2022,2,Sur-Anta,No configura VFG,No corresponde,26
2022,2,Sur-Anta,Consultas,OVFG,0
2022,2,Sur-Anta,Consultas,OVFG,0
2022,2,Sur-Anta,Consultas,OVFG,0
2022,3,Centro,Familiar,OVFG,40
2022,3,Centro,Familiar,OVFG,9
2022,3,Centro,Familiar,Comisarias,1546
2022,3,Centro,Familiar,Otros organismos,122
2022,3,Centro,Género,OVFG,92
2022,3,Centro,Género,OVFG,56
2022,3,Centro,Género,Comisarias,1850
2022,3,Centro,Género,Otros organismos,115
2022,3,Centro,No configura VFG,No corresponde,1351
2022,3,Norte-Orán,Familiar,OVFG,46
2022,3,Norte-Orán,Familiar,OVFG,0
2022,3,Norte-Orán,Familiar,Comisarias,237
2022,3,Norte-Orán,Familiar,Otros organismos,14
2022,3,Norte-Orán,Género,OVFG,38
2022,3,Norte-Orán,Género,OVFG,0
2022,3,Norte-Orán,Género,Comisarias,471
2022,3,Norte-Orán,Género,Otros organismos,37
2022,3,Norte-Orán,No configura VFG,No corresponde,208
2022,3,Norte-Orán,Consultas,OVFG,9
2022,3,Norte-Orán,Consultas,OVFG,0
2022,3,Norte-Orán,Consultas,OVFG,1
2022,3,Norte-Tartagal,Familiar,OVFG,9
2022,3,Norte-Tartagal,Consultas,OVFG,12
2022,3,Norte-Tartagal,Familiar,Comisarias,284
2022,3,Norte-Tartagal,No configura VFG,No corresponde,240
